candidate,regime,regime_name,seed,peg_vol,max_dev_pct,resets,haircut_pct,all_gates_pass
Fragile Narrow Vector,HIGH_VOLATILITY,Turbulent High Volatility,303,42.56323829347944,3.504071150247623,360,0.0,False
Fragile Narrow Vector,HIGH_VOLATILITY,Turbulent High Volatility,404,42.54644230941248,2.690967260952204,317,0.0,False
Fragile Narrow Vector,HIGH_VOLATILITY,Turbulent High Volatility,505,42.61754559136802,3.4480326269506145,329,0.0,False
Fragile Narrow Vector,SEVERE_BEAR,Severe Bear Market,101,42.6134128729669,3.5223029516357696,327,0.0,False
Fragile Narrow Vector,SEVERE_BEAR,Severe Bear Market,202,42.541634953274425,3.4069823263917165,316,16.197669885755438,False
Fragile Narrow Vector,SEVERE_BEAR,Severe Bear Market,303,42.43047366902646,2.6641542042773914,357,0.0,False
Fragile Narrow Vector,SEVERE_BEAR,Severe Bear Market,404,42.491671964844215,3.4604900263594307,296,0.0,False
Fragile Narrow Vector,SEVERE_BEAR,Severe Bear Market,505,42.46384954948566,3.4581906334067103,353,0.0,False
Fragile Narrow Vector,FLASH_CRASH,Instantaneous Flash Crash (-60%),101,42.48920496712719,3.3022289217678247,288,0.0,False
Fragile Narrow Vector,FLASH_CRASH,Instantaneous Flash Crash (-60%),202,42.45373909096655,3.3590524035004288,316,43.11962055828492,False
Fragile Narrow Vector,FLASH_CRASH,Instantaneous Flash Crash (-60%),303,42.31954465621679,3.3655331831549007,351,0.0,False
Fragile Narrow Vector,FLASH_CRASH,Instantaneous Flash Crash (-60%),404,42.49452966264763,3.398588750857079,267,0.0,False
Fragile Narrow Vector,FLASH_CRASH,Instantaneous Flash Crash (-60%),505,42.46991319257957,2.831738985258858,344,0.0,False
Fragile Narrow Vector,MULTI_JUMP_CASCADE,Multi-Jump Cascading Crash,101,42.50527753833854,3.2011431764283227,327,0.0,False
Fragile Narrow Vector,MULTI_JUMP_CASCADE,Multi-Jump Cascading Crash,202,42.59279331643207,2.808127802314042,342,0.0,False
Fragile Narrow Vector,MULTI_JUMP_CASCADE,Multi-Jump Cascading Crash,303,42.50969491666428,2.7608160479851485,354,0.0,False
Fragile Narrow Vector,MULTI_JUMP_CASCADE,Multi-Jump Cascading Crash,404,42.44094554113175,3.481766589598001,316,0.0,False
Fragile Narrow Vector,MULTI_JUMP_CASCADE,Multi-Jump Cascading Crash,505,42.410060560151315,2.6693288738339094,355,0.0,False
Fragile Narrow Vector,V_SHAPED_RECOVERY,V-Shaped Crash & Rapid Recovery,101,42.46370136895515,2.873369937662451,340,0.0,False
Fragile Narrow Vector,V_SHAPED_RECOVERY,V-Shaped Crash & Rapid Recovery,202,42.557128840255444,3.4528243470415942,250,0.0,False
Fragile Narrow Vector,V_SHAPED_RECOVERY,V-Shaped Crash & Rapid Recovery,303,42.47198778763711,2.7192066673053183,359,0.0,False
Fragile Narrow Vector,V_SHAPED_RECOVERY,V-Shaped Crash & Rapid Recovery,404,42.54412512164264,2.649948543752445,297,0.0,False
Fragile Narrow Vector,V_SHAPED_RECOVERY,V-Shaped Crash & Rapid Recovery,505,42.41334717280394,2.739147132209918,326,0.0,False
