track,H_d,H_u,R,R_prime,R_tilde,sigma,crash_tolerance_pct,peg_volatility_pct,annual_reset_rate,utility_score
Tranching_Safety,0.15,2.0,0.06,0.02,0.1,1.2,-54.55079271873164,1.626530158023592,0.8301201268038568,90.78140370270792
Tranching_Safety,0.15,2.0,0.06,0.02,0.15,0.6,-53.37639459776864,0.813265079011796,0.4150600634019284,105.83110114671508
Tranching_Safety,0.15,2.0,0.06,0.02,0.15,0.8986,-53.37639459776864,1.2179999999999997,0.6216216216216215,98.10758486613449
Tranching_Safety,0.15,2.0,0.06,0.02,0.15,1.2,-53.37639459776864,1.626530158023592,0.8301201268038568,90.31164445432272
Tranching_Safety,0.15,2.0,0.06,0.03,0.0,0.6,-56.52173913043478,0.813265079011796,0.4150600634019284,107.08923895978154
Tranching_Safety,0.15,2.0,0.06,0.03,0.0,0.8986,-56.52173913043478,1.2179999999999997,0.6216216216216215,99.36572267920094
Tranching_Safety,0.15,2.0,0.06,0.03,0.0,1.2,-56.52173913043478,1.626530158023592,0.8301201268038568,91.56978226738917
Tranching_Safety,0.15,2.0,0.06,0.03,0.1,0.6,-54.433352906635335,0.813265079011796,0.4150600634019284,106.25388447026177
Tranching_Safety,0.15,2.0,0.06,0.03,0.1,0.8986,-54.433352906635335,1.2179999999999997,0.6216216216216215,98.53036818968117
Tranching_Safety,0.15,2.0,0.06,0.03,0.1,1.2,-54.433352906635335,1.626530158023592,0.8301201268038568,90.7344277778694
Tranching_Safety,0.15,2.0,0.06,0.03,0.15,0.6,-53.25895478567233,0.813265079011796,0.4150600634019284,105.78412522187656
Tranching_Safety,0.15,2.0,0.06,0.03,0.15,0.8986,-53.25895478567233,1.2179999999999997,0.6216216216216215,98.06060894129597
Tranching_Safety,0.15,2.0,0.06,0.03,0.15,1.2,-53.25895478567233,1.626530158023592,0.8301201268038568,90.2646685294842
Tranching_Safety,0.15,2.0,0.06,0.04,0.0,0.6,-56.52173913043478,0.813265079011796,0.4150600634019284,107.08923895978154
Tranching_Safety,0.15,2.0,0.06,0.04,0.0,0.8986,-56.52173913043478,1.2179999999999997,0.6216216216216215,99.36572267920094
Tranching_Safety,0.15,2.0,0.06,0.04,0.0,1.2,-56.52173913043478,1.626530158023592,0.8301201268038568,91.56978226738917
Tranching_Safety,0.15,2.0,0.06,0.04,0.1,0.6,-54.31591309453905,0.813265079011796,0.4150600634019284,106.20690854542326
Tranching_Safety,0.15,2.0,0.06,0.04,0.1,0.8986,-54.31591309453905,1.2179999999999997,0.6216216216216215,98.48339226484265
Tranching_Safety,0.15,2.0,0.06,0.04,0.1,1.2,-54.31591309453905,1.626530158023592,0.8301201268038568,90.6874518530309
Tranching_Safety,0.15,2.0,0.06,0.04,0.15,0.6,-53.141514973576044,0.813265079011796,0.4150600634019284,105.73714929703806
Tranching_Safety,0.15,2.0,0.06,0.04,0.15,0.8986,-53.141514973576044,1.2179999999999997,0.6216216216216215,98.01363301645745
