H_d,H_u,R,sigma,mean_peg_vol,mean_burn_avax,mean_n_down,mean_n_up
0.35,1.75,0.073,0.6,0.9541584246158573,155999.9999999998,0.6666666666666666,204.33333333333334
0.35,1.75,0.073,0.8986,1.0119209665186633,155999.9999999998,1.3333333333333333,294.3333333333333
0.35,1.75,0.073,1.2,0.6484772942546694,155999.9999999998,1.3333333333333333,315.3333333333333
0.35,1.75,0.085,0.6,2.7734597289896463,155999.9999999998,1.0,203.33333333333334
0.35,1.75,0.085,0.8986,1.6806901533992493,155999.9999999998,1.3333333333333333,225.66666666666666
0.35,1.75,0.085,1.2,1.203637281473941,155999.9999999998,1.3333333333333333,281.6666666666667
0.35,2.0,0.06,0.6,1.7733655604176979,155999.9999999998,1.0,217.33333333333334
0.35,2.0,0.06,0.8986,1.3173966291054584,155999.9999999998,1.0,247.33333333333334
0.35,2.0,0.06,1.2,1.1110482712978245,155999.9999999998,1.3333333333333333,302.6666666666667
0.35,2.0,0.073,0.6,3.198222791841006,155999.9999999998,1.0,203.66666666666666
0.35,2.0,0.073,0.8986,1.5793271745881021,155999.9999999998,1.0,279.6666666666667
0.35,2.0,0.073,1.2,1.1862989170743083,155999.9999999998,2.0,235.0
0.35,2.0,0.085,0.6,2.174796969438464,155999.9999999998,1.0,252.66666666666666
0.35,2.0,0.085,0.8986,1.3108009159534344,155999.9999999998,1.0,267.0
0.35,2.0,0.085,1.2,1.0063333290418526,155999.9999999998,1.3333333333333333,302.0
0.35,2.25,0.06,0.6,3.0439207977424556,155999.9999999998,1.0,214.33333333333334
0.35,2.25,0.06,0.8986,1.013169894420127,155999.9999999998,1.0,291.6666666666667
0.35,2.25,0.06,1.2,1.5761362770044463,155999.9999999998,2.0,214.0
0.35,2.25,0.073,0.6,3.2567156949686695,155999.9999999998,1.0,181.0
0.35,2.25,0.073,0.8986,0.7025765069794813,155999.9999999998,1.0,323.3333333333333
0.35,2.25,0.073,1.2,0.9888342067361325,155999.9999999998,1.3333333333333333,287.3333333333333
0.35,2.25,0.085,0.6,3.0569663662408426,155999.9999999998,1.0,165.0
0.35,2.25,0.085,0.8986,1.4686708499629857,155999.9999999998,1.3333333333333333,209.0
0.35,2.25,0.085,1.2,1.3020516752001705,155999.9999999998,1.3333333333333333,259.0
0.35,2.5,0.06,0.6,4.818508047168408,155999.9999999998,1.0,61.0
0.35,2.5,0.06,0.8986,2.669866231344807,155999.9999999998,1.3333333333333333,217.0
0.35,2.5,0.06,1.2,1.485247773187999,155999.9999999998,1.3333333333333333,241.0
0.35,2.5,0.073,0.6,2.7593866671832856,155999.9999999998,1.0,227.33333333333334
0.35,2.5,0.073,0.8986,2.912086518778825,155999.9999999998,1.0,207.33333333333334
0.35,2.5,0.073,1.2,1.1594863300544047,155999.9999999998,1.3333333333333333,259.0
0.35,2.5,0.085,0.6,3.414938337123401,155999.9999999998,1.3333333333333333,156.33333333333334
0.35,2.5,0.085,0.8986,2.6299228178566474,155999.9999999998,1.3333333333333333,219.66666666666666
0.35,2.5,0.085,1.2,1.7340223488368858,155999.9999999998,1.6666666666666667,207.66666666666666
