path_id,annualized_peg_vol,max_drawdown_pct,burn_avax,n_upward,n_downward,max_solvency_gap
161,0.0,0.0,312000.00000000297,705,1,0.0
162,0.0,0.0,312000.00000000297,533,2,0.0
163,0.0,0.0,312000.00000000297,600,1,0.0
164,0.0,0.0,312000.00000000297,621,1,0.0
165,0.0,0.0,312000.00000000297,583,1,0.0
166,0.0,0.0,312000.00000000297,584,2,0.0
167,0.0,0.0,312000.00000000297,624,2,0.0
168,0.0,0.0,312000.00000000297,633,1,0.0
169,0.0,0.0,312000.00000000297,619,2,0.0
170,0.0,0.0,312000.00000000297,629,1,0.0
171,0.0,0.0,312000.00000000297,611,1,0.0
172,0.0,0.0,312000.00000000297,607,2,0.0
173,0.0,0.0,312000.00000000297,543,1,0.0
174,0.0,0.0,312000.00000000297,185,2,0.0
175,0.0,0.0,312000.00000000297,516,1,0.0
176,0.0,0.0,312000.00000000297,287,1,0.0
177,0.0,0.0,312000.00000000297,401,2,0.0
178,0.0,0.0,312000.00000000297,501,1,0.0
179,0.0,0.0,312000.00000000297,318,3,0.0
180,0.0,0.0,312000.00000000297,663,1,0.0
181,0.0,0.0,312000.00000000297,570,2,0.0
182,0.0,0.0,312000.00000000297,660,1,0.0
183,0.0,0.0,312000.00000000297,512,1,0.0
184,0.0,0.0,312000.00000000297,631,1,0.0
185,0.0,0.0,312000.00000000297,633,1,0.0
186,0.0,0.0,312000.00000000297,652,1,0.0
187,0.0,0.0,312000.00000000297,235,2,0.0
188,0.0,0.0,312000.00000000297,436,2,0.0
189,0.0,0.0,312000.00000000297,563,1,0.0
190,0.0,0.0,312000.00000000297,540,1,0.0
191,0.0,0.0,312000.00000000297,580,1,0.0
192,0.0,0.0,312000.00000000297,558,1,0.0
193,0.0,0.0,312000.00000000297,520,1,0.0
194,0.0,0.0,312000.00000000297,583,2,0.0
195,0.0,0.0,312000.00000000297,629,1,0.0
196,0.0,0.0,312000.00000000297,444,2,0.0
197,0.0,0.0,312000.00000000297,702,1,0.0
198,0.0,0.0,312000.00000000297,662,1,0.0
199,0.0,0.0,312000.00000000297,696,1,0.0
200,0.0,0.0,312000.00000000297,609,1,0.0
201,0.0,0.0,312000.00000000297,696,1,0.0
202,0.0,0.0,312000.00000000297,423,3,0.0
203,0.0,0.0,312000.00000000297,704,1,0.0
204,0.0,0.0,312000.00000000297,607,1,0.0
205,0.0,0.0,312000.00000000297,647,1,0.0
206,0.0,0.0,312000.00000000297,557,2,0.0
207,0.0,0.0,312000.00000000297,600,1,0.0
208,0.0,0.0,312000.00000000297,707,1,0.0
209,0.0,0.0,312000.00000000297,594,2,0.0
210,0.0,0.0,312000.00000000297,705,1,0.0
211,0.0,0.0,312000.00000000297,536,1,0.0
212,0.0,0.0,312000.00000000297,470,1,0.0
213,0.0,0.0,312000.00000000297,637,1,0.0
214,0.0,0.0,312000.00000000297,507,1,0.0
215,0.0,0.0,312000.00000000297,677,1,0.0
216,0.0,0.0,312000.00000000297,468,2,0.0
217,0.0,0.0,312000.00000000297,404,1,0.0
218,0.0,0.0,312000.00000000297,648,2,0.0
219,0.0,0.0,312000.00000000297,647,1,0.0
220,0.0,0.0,312000.00000000297,559,1,0.0
221,0.0,0.0,312000.00000000297,443,2,0.0
222,0.0,0.0,312000.00000000297,497,2,0.0
223,0.0,0.0,312000.00000000297,530,1,0.0
224,0.0,0.0,312000.00000000297,650,1,0.0
225,0.0,0.0,312000.00000000297,702,1,0.0
226,0.0,0.0,312000.00000000297,459,2,0.0
227,0.0,0.0,312000.00000000297,657,1,0.0
228,0.0,0.0,312000.00000000297,524,2,0.0
229,0.0,0.0,312000.00000000297,477,1,0.0
230,0.0,0.0,312000.00000000297,416,1,0.0
231,0.0,0.0,312000.00000000297,711,1,0.0
232,0.0,0.0,312000.00000000297,651,2,0.0
233,0.0,0.0,312000.00000000297,558,1,0.0
234,0.0,0.0,312000.00000000297,422,2,0.0
235,0.0,0.0,312000.00000000297,521,1,0.0
236,0.0,0.0,312000.00000000297,523,2,0.0
237,0.0,0.0,312000.00000000297,540,2,0.0
238,0.0,0.0,312000.00000000297,698,1,0.0
239,0.0,0.0,312000.00000000297,466,2,0.0
240,0.0,0.0,312000.00000000297,371,1,0.0
241,0.0,0.0,312000.00000000297,652,1,0.0
242,0.0,0.0,312000.00000000297,699,1,0.0
243,0.0,0.0,312000.00000000297,668,1,0.0
244,0.0,0.0,312000.00000000297,585,2,0.0
245,0.0,0.0,312000.00000000297,681,1,0.0
246,0.0,0.0,312000.00000000297,496,2,0.0
247,0.0,0.0,312000.00000000297,655,1,0.0
248,0.0,0.0,312000.00000000297,610,1,0.0
249,0.0,0.0,312000.00000000297,691,1,0.0
250,0.0,0.0,312000.00000000297,563,1,0.0
251,0.0,0.0,312000.00000000297,631,1,0.0
252,0.0,0.0,312000.00000000297,625,1,0.0
253,0.0,0.0,312000.00000000297,683,1,0.0
254,0.0,0.0,312000.00000000297,560,2,0.0
255,0.0,0.0,312000.00000000297,660,1,0.0
256,0.0,0.0,312000.00000000297,673,1,0.0
257,0.0,0.0,312000.00000000297,646,1,0.0
258,0.0,0.0,312000.00000000297,651,1,0.0
259,0.0,0.0,312000.00000000297,363,2,0.0
260,0.0,0.0,312000.00000000297,589,1,0.0
261,0.0,0.0,312000.00000000297,472,2,0.0
262,0.0,0.0,312000.00000000297,664,1,0.0
263,0.0,0.0,312000.00000000297,135,1,0.0
264,0.0,0.0,312000.00000000297,590,1,0.0
265,0.0,0.0,312000.00000000297,562,2,0.0
266,0.0,0.0,312000.00000000297,681,1,0.0
267,0.0,0.0,312000.00000000297,626,1,0.0
268,0.0,0.0,312000.00000000297,641,1,0.0
269,0.0,0.0,312000.00000000297,723,1,0.0
270,0.0,0.0,312000.00000000297,608,1,0.0
271,0.0,0.0,312000.00000000297,715,1,0.0
272,0.0,0.0,312000.00000000297,548,2,0.0
273,0.0,0.0,312000.00000000297,323,2,0.0
274,0.0,0.0,312000.00000000297,637,1,0.0
275,0.0,0.0,312000.00000000297,682,1,0.0
276,0.0,0.0,312000.00000000297,554,2,0.0
277,0.0,0.0,312000.00000000297,525,2,0.0
278,0.0,0.0,312000.00000000297,611,2,0.0
279,0.0,0.0,312000.00000000297,701,1,0.0
280,0.0,0.0,312000.00000000297,692,1,0.0
281,0.0,0.0,312000.00000000297,452,3,0.0
282,0.0,0.0,312000.00000000297,558,1,0.0
283,0.0,0.0,312000.00000000297,658,1,0.0
284,0.0,0.0,312000.00000000297,571,2,0.0
285,0.0,0.0,312000.00000000297,664,1,0.0
